; Fluorescence rates OH from Thesis Schleicher	
; Units L/N [1e-16 ERG/S/MOLECULE]
; rd		0-0		1-0		1-1
-60.0000000	65.0000000	2.2100000	3.4800000
-59.0000000	63.9000000	2.2900000	3.6100000
-58.0000000	62.9000000	2.3900000	3.7700000
-57.0000000	61.9000000	2.5000000	3.9300000
-56.0000000	60.6000000	2.5800000	4.0600000
-55.0000000	58.8000000	2.6500000	4.1700000
-54.0000000	56.5000000	2.6700000	4.2000000
-53.0000000	53.6000000	2.6200000	4.1300000
-52.0000000	50.0000000	2.5000000	3.9400000
-51.0000000	45.9000000	2.3500000	3.7000000
-50.0000000	41.5000000	2.2200000	3.5000000
-49.0000000	37.3000000	2.1800000	3.4300000
-48.0000000	33.9000000	2.2100000	3.4800000
-47.0000000	31.0000000	2.2900000	3.6000000
-46.0000000	28.5000000	2.3600000	3.7200000
-45.0000000	26.7000000	2.4200000	3.8100000
-44.0000000	26.4000000	2.4400000	3.8400000
-43.0000000	28.1000000	2.4200000	3.8200000
-42.0000000	30.9000000	2.3800000	3.7500000
-41.0000000	33.7000000	2.3300000	3.6700000
-40.0000000	35.3000000	2.2800000	3.5800000
-39.0000000	35.6000000	2.2100000	3.4800000
-38.0000000	34.8000000	2.1200000	3.3300000
-37.0000000	33.7000000	1.9600000	3.0900000
-36.0000000	33.4000000	1.7700000	2.7900000
-35.0000000	34.2000000	1.5700000	2.4800000
-34.0000000	35.1000000	1.4400000	2.2600000
-33.0000000	35.0000000	1.3900000	2.1900000
-32.0000000	33.8000000	1.4200000	2.2400000
-31.0000000	32.2000000	1.4800000	2.3300000
-30.0000000	31.1000000	1.5500000	2.4400000
-29.0000000	30.1000000	1.6300000	2.5600000
-28.0000000	29.0000000	1.7100000	2.6900000
-27.0000000	27.7000000	1.7700000	2.7900000
-26.0000000	25.9000000	1.7700000	2.7800000
-25.0000000	23.9000000	1.6800000	2.6400000
-24.0000000	21.7000000	1.5100000	2.3700000
-23.0000000	19.8000000	1.3100000	2.0600000
-22.0000000	18.5000000	1.1100000	1.7400000
-21.0000000	17.4000000	0.9400000	1.4800000
-20.0000000	16.4000000	0.8300000	1.3000000
-19.0000000	15.2000000	0.7700000	1.2100000
-18.0000000	14.4000000	0.7900000	1.2400000
