wavelength (angstroms),irradiance
1430.0,0.00535
1431.0,0.0053958
1432.0,0.0054415999999999996
1433.0,0.0054874
1434.0,0.005533199999999999
1435.0,0.005579
1436.0,0.00557815
1437.0,0.0055772999999999994
1438.0,0.00557645
1439.0,0.0055756
1440.0,0.00557475
1441.0,0.0055739
1442.0,0.0055730499999999995
1443.0,0.0055722
1444.0,0.00557135
1445.0,0.0055705
1446.0,0.0056174
1447.0,0.0056643
1448.0,0.0057112
1449.0,0.0057580999999999995
1450.0,0.005804999999999999
1451.0,0.0058519
1452.0,0.0058988
1453.0,0.0059457
1454.0,0.0059926
1455.0,0.0060395
1456.0,0.006204899999999999
1457.0,0.0063703
1458.0,0.0065357
1459.0,0.0067011
1460.0,0.006866499999999999
1461.0,0.0070319
1462.0,0.0071973
1463.0,0.0073627
1464.0,0.007528099999999999
1465.0,0.0076935
1466.0,0.0078436
1467.0,0.0079937
1468.0,0.0081438
1469.0,0.0082939
1470.0,0.008444
1471.0,0.0085941
1472.0,0.008744199999999999
1473.0,0.008894299999999999
1474.0,0.0090444
1475.0,0.0091945
1476.0,0.009160149999999999
1477.0,0.0091258
1478.0,0.00909145
1479.0,0.0090571
1480.0,0.00902275
1481.0,0.008988399999999999
1482.0,0.00895405
1483.0,0.0089197
1484.0,0.00888535
1485.0,0.008851
1486.0,0.0088276
1487.0,0.0088042
1488.0,0.0087808
1489.0,0.0087574
1490.0,0.008733999999999999
1491.0,0.008710599999999999
1492.0,0.008687199999999999
1493.0,0.0086638
1494.0,0.0086404
1495.0,0.008617
1496.0,0.008695
1497.0,0.008773
1498.0,0.008851
1499.0,0.008929
1500.0,0.009007000000000001
1501.0,0.009085000000000001
1502.0,0.009163000000000001
1503.0,0.009241000000000001
1504.0,0.009319000000000001
1505.0,0.009397
1506.0,0.009458000000000001
1507.0,0.009519000000000001
1508.0,0.00958
1509.0,0.009641
1510.0,0.009702
1511.0,0.009763
1512.0,0.009824000000000001
1513.0,0.009885
1514.0,0.009946
1515.0,0.010007
1516.0,0.0102748
1517.0,0.010542600000000001
1518.0,0.0108104
1519.0,0.0110782
1520.0,0.011346
1521.0,0.0116138
1522.0,0.0118816
1523.0,0.012149400000000001
1524.0,0.0124172
1525.0,0.012685
1526.0,0.012829
1527.0,0.012973
1528.0,0.013117
1529.0,0.013261
1530.0,0.013405
1531.0,0.013549
1532.0,0.013693
1533.0,0.013837
1534.0,0.013981
1535.0,0.014125
1536.0,0.014975
1537.0,0.015825
1538.0,0.016675
1539.0,0.017525
1540.0,0.018375
1541.0,0.019225
1542.0,0.020075
1543.0,0.020925
1544.0,0.021775
1545.0,0.022625
1546.0,0.022706
1547.0,0.022786999999999998
1548.0,0.022868
1549.0,0.022949
1550.0,0.023030000000000002
1551.0,0.023111
1552.0,0.023192
1553.0,0.023273000000000002
1554.0,0.023354
1555.0,0.023435
1556.0,0.0230735
1557.0,0.022712
1558.0,0.022350500000000002
1559.0,0.021989
1560.0,0.0216275
1561.0,0.021266
1562.0,0.0209045
1563.0,0.020543000000000002
1564.0,0.0201815
1565.0,0.01982
1566.0,0.0196815
1567.0,0.019543
1568.0,0.0194045
1569.0,0.019266000000000002
1570.0,0.0191275
1571.0,0.018989
1572.0,0.0188505
1573.0,0.018712
1574.0,0.0185735
1575.0,0.018435
1576.0,0.018386
1577.0,0.018337
1578.0,0.018288
1579.0,0.018239
1580.0,0.018189999999999998
1581.0,0.018141
1582.0,0.018092
1583.0,0.018043
1584.0,0.017994
1585.0,0.017945
1586.0,0.0180215
1587.0,0.018098
1588.0,0.0181745
1589.0,0.018251
1590.0,0.0183275
1591.0,0.018404
1592.0,0.0184805
1593.0,0.018557
1594.0,0.0186335
1595.0,0.01871
1596.0,0.018909000000000002
1597.0,0.019108
1598.0,0.019307
1599.0,0.019506
1600.0,0.019705
1601.0,0.019904
1602.0,0.020103
1603.0,0.020302
1604.0,0.020501
1605.0,0.0207
1606.0,0.0210115
1607.0,0.021322999999999998
1608.0,0.0216345
1609.0,0.021946
1610.0,0.0222575
1611.0,0.022569
1612.0,0.022880499999999998
1613.0,0.023192
1614.0,0.0235035
1615.0,0.023815
1616.0,0.024136499999999998
1617.0,0.024458
1618.0,0.0247795
1619.0,0.025101
1620.0,0.0254225
1621.0,0.025744
1622.0,0.0260655
1623.0,0.026386999999999997
1624.0,0.0267085
1625.0,0.02703
1626.0,0.027414499999999998
1627.0,0.027798999999999997
1628.0,0.0281835
1629.0,0.028568
1630.0,0.0289525
1631.0,0.029337
1632.0,0.029721499999999998
1633.0,0.030106
1634.0,0.0304905
1635.0,0.030875
1636.0,0.031002
1637.0,0.031129
1638.0,0.031256
1639.0,0.031383
1640.0,0.031509999999999996
1641.0,0.031637
1642.0,0.031764
1643.0,0.031891
1644.0,0.032018
1645.0,0.032145
1646.0,0.0335465
1647.0,0.034948
1648.0,0.0363495
1649.0,0.037751
1650.0,0.0391525
1651.0,0.040554
1652.0,0.0419555
1653.0,0.043357
1654.0,0.0447585
1655.0,0.04616
1656.0,0.045818
1657.0,0.045476
1658.0,0.045134
1659.0,0.044792
1660.0,0.04445
1661.0,0.044108
1662.0,0.043766
1663.0,0.043424
1664.0,0.043082
1665.0,0.04274
1666.0,0.0426075
1667.0,0.042475
1668.0,0.0423425
1669.0,0.04221
1670.0,0.042077500000000004
1671.0,0.041945
1672.0,0.0418125
1673.0,0.04168
1674.0,0.0415475
1675.0,0.041415
1676.0,0.042114
1677.0,0.042813
1678.0,0.043512
1679.0,0.044211
1680.0,0.04491
1681.0,0.045609
1682.0,0.046307999999999995
1683.0,0.047007
1684.0,0.047706
1685.0,0.048405
1686.0,0.0498035
1687.0,0.051202
1688.0,0.052600499999999994
1689.0,0.053999
1690.0,0.0553975
1691.0,0.056796
1692.0,0.058194499999999996
1693.0,0.059593
1694.0,0.060991500000000004
1695.0,0.06239
1696.0,0.0631685
1697.0,0.063947
1698.0,0.0647255
1699.0,0.065504
1700.0,0.0662825
1701.0,0.067061
1702.0,0.0678395
1703.0,0.068618
1704.0,0.0693965
1705.0,0.070175
1706.0,0.070488
1707.0,0.070801
1708.0,0.071114
1709.0,0.071427
1710.0,0.07174
1711.0,0.07205299999999999
1712.0,0.072366
1713.0,0.072679
