r (AU),total_fragment_number
6.5166516651665162829232258e-1,7.2522691675848883286820218e31
6.5211521152115214938760346e-1,7.2602578324447812306270868e31
6.5256525652565255946058187e-1,7.2682496446989440179225810e31
6.5301530153015296953356028e-1,7.2762446033048474200277632e31
6.5346534653465349062884115e-1,7.2842427072209970935962616e31
6.5391539153915390070181957e-1,7.2922439554069813606321245e31
6.5436543654365442179710044e-1,7.3002483468234270732134717e31
6.5481548154815483187007885e-1,7.3082558804319987127725693e31
6.5526552655265524194305726e-1,7.3162665551954073972950843e31
6.5571557155715565201603567e-1,7.3242803700774279949986684e31
6.5616561656165617311131655e-1,7.3322973240428405775378026e31
6.5661566156615658318429496e-1,7.3403174160574745552801451e31
6.5706570657065710427957583e-1,7.3483406450882230888253392e31
6.5751575157515751435255424e-1,7.3563670101029971522888137e31
6.5796579657965792442553266e-1,7.3643965100707444484202182e31
6.5841584158415844552081353e-1,7.3724291439614476071635721e31
6.5886588658865885559379194e-1,7.3804649107461133770181587e31
6.5931593159315937668907281e-1,7.3885038093967798307979293e31
6.5976597659765978676205123e-1,7.3965458388865082591521737e31
6.6021602160216019683502964e-1,7.4045909981894101921632845e31
6.6066606660666060690800805e-1,7.4126392862805897532715267e31
6.6111611161116112800328892e-1,7.4206907021361931988709390e31
6.6156615661566153807626733e-1,7.4287452447333773931119418e31
6.6201620162016205917154821e-1,7.4368029130503305244596236e31
6.6246624662466246924452662e-1,7.4448637060662405804963490e31
6.6291629162916287931750503e-1,7.4529276227613277738390759e31
6.6336633663366340041278590e-1,7.4609946621168148183818149e31
6.6381638163816381048576432e-1,7.4690648231149332343351077e31
6.6426642664266422055874273e-1,7.4771381047389548734234185e31
6.6471647164716474165402360e-1,7.4852145059731297692102762e31
6.6516651665166515172700201e-1,7.4932940258027032507768589e31
6.6561656165616556179998042e-1,7.5013766632139771916769257e31
6.6606660666066608289526130e-1,7.5094624171942082285852380e31
6.6651665166516649296823971e-1,7.5175512867316798188915981e31
6.6696669666966701406352058e-1,7.5256432708156851270222644e31
6.6741674167416742413649899e-1,7.5337383684364675769248707e31
6.6786678667866783420947741e-1,7.5418365785853352434989611e31
6.6831683168316824428245582e-1,7.5499379002545410568459020e31
6.6876687668766876537773669e-1,7.5580423324373611649023984e31
6.6921692169216917545071510e-1,7.5661498741280399895250401e31
6.6966696669666969654599598e-1,7.5742605243218361632065004e31
6.7011701170117010661897439e-1,7.5823742820149819966788905e31
6.7056705670567051669195280e-1,7.5904911462046951882727900e31
6.7101710171017103778723367e-1,7.5986111158892058455150114e31
6.7146714671467144786021208e-1,7.6067341900676835268146368e31
6.7191719171917196895549296e-1,7.6148603677403183062563103e31
6.7236723672367237902847137e-1,7.6229896479082640282449336e31
6.7281728172817278910144978e-1,7.6311220295736761377425352e31
6.7326732673267319917442819e-1,7.6392575117396297147550529e31
6.7371737173717372026970907e-1,7.6473960934102653909602604e31
6.7416741674167413034268748e-1,7.6555377735906191136418523e31
6.7461746174617465143796835e-1,7.6636825512867302320805018e31
6.7506750675067506151094676e-1,7.6718304255056270860350524e31
6.7551755175517547158392517e-1,7.6799813952552792675864682e31
6.7596759675967599267920605e-1,7.6881354595446291463352250e31
6.7641764176417640275218446e-1,7.6962926173835999758806403e31
6.7686768676867692384746533e-1,7.7044528677830751772625867e31
6.7731773177317733392044374e-1,7.7126162097548920339220140e31
6.7776777677767774399342215e-1,7.7207826423118687132987133e31
6.7821782178217815406640057e-1,7.7289521644677574293951923e31
6.7866786678667867516168144e-1,7.7371247752372813722936198e31
6.7911791179117908523465985e-1,7.7453004736361365095956766e31
6.7956795679567960632994073e-1,7.7534792586809681677044932e31
6.8001800180018001640291914e-1,7.7616611293893485138265130e31
6.8046804680468042647589755e-1,7.7698460847798351027666481e31
6.8091809180918094757117842e-1,7.7780341238719168337327505e31
6.8136813681368135764415683e-1,7.7862252456860535820123338e31
6.8181818181818187873943771e-1,7.7944194492436311629762985e31
6.8226822682268228881241612e-1,7.8026167335669856515169207e31
6.8271827182718269888539453e-1,7.8108170976793997791681493e31
6.8316831683168310895837294e-1,7.8190205406051236506638928e31
6.8361836183618363005365381e-1,7.8272270613693017856240553e31
6.8406840684068404012663223e-1,7.8354366589980577862275312e31
6.8451845184518456122191310e-1,7.8436493325184484004960062e31
6.8496849684968497129489151e-1,7.8518650809584680258935844e31
6.8541854185418538136786992e-1,7.8600839033470009711707384e31
6.8586858685868579144084833e-1,7.8683057987139367485147699e31
6.8631863186318631253612921e-1,7.8765307660900809022771877e31
6.8676867686768672260910762e-1,7.8847588045071225830563908e31
6.8721872187218724370438849e-1,7.8929899129977228182503645e31
6.8766876687668765377736690e-1,7.9012240905954811854194385e31
6.8811881188118806385034532e-1,7.9094613363348646554121737e31
6.8856885688568858494562619e-1,7.9177016492513625161925443e31
6.8901890189018899501860460e-1,7.9259450283812738029375256e31
6.8946894689468951611388547e-1,7.9341914727619153643398788e31
6.8991899189918992618686389e-1,7.9424409814314777474200748e31
6.9036903690369033625984230e-1,7.9506935534290846450413757e31
6.9081908190819074633282071e-1,7.9589491877947595692725923e31
6.9126912691269126742810158e-1,7.9672078835694708873843578e31
6.9171917191719167750107999e-1,7.9754696397950723743340462e31
6.9216921692169219859636087e-1,7.9837344555143725682000342e31
6.9261926192619260866933928e-1,7.9920023297710437974692281e31
6.9306930693069301874231769e-1,8.0002732616096996429506548e31
6.9351935193519353983759856e-1,8.0085472500758598096983679e31
6.9396939693969394991057698e-1,8.0168242942159411198121933e31
6.9441944194419447100585785e-1,8.0251043930772602145975057e31
6.9486948694869488107883626e-1,8.0333875457080731862419489e31
6.9531953195319529115181467e-1,8.0416737511575188324601318e31
6.9576957695769570122479308e-1,8.0499630084756249615331058e31
6.9621962196219622232007396e-1,8.0582553167133345131862042e31
6.9666966696669663239305237e-1,8.0665506749224974521097127e31
6.9711971197119715348833324e-1,8.0748490821558518528404345e31
6.9756975697569756356131165e-1,8.0831505374670067860831061e31
6.9801980198019797363429007e-1,8.0914550399105125748645846e31
6.9846984698469849472957094e-1,8.0997625885417995455789152e31
6.9891989198919890480254935e-1,8.1080731824171564107091199e31
6.9936993699369942589783022e-1,8.1163868205938212415396706e31
6.9981998199819983597080864e-1,8.1247035021298517644872203e31
7.0027002700270024604378705e-1,8.1330232260842730791683815e31
7.0072007200720065611676546e-1,8.1413459915169209331326931e31
7.0117011701170117721204633e-1,8.1496717974885660212123364e31
7.0162016201620158728502474e-1,8.1580006430608383250483949e31
7.0207020702070210838030562e-1,8.1663325272962631418878731e31
7.0252025202520251845328403e-1,8.1746674492582502759445914e31
7.0297029702970292852626244e-1,8.1830054080110724211209742e31
7.0342034203420344962154331e-1,8.1913464026198903811659635e31
7.0387038703870385969452173e-1,8.1996904321507512682351677e31
7.0432043204320438078980260e-1,8.2080374956705470697742900e31
7.0477047704770479086278101e-1,8.2163875922470813017936132e31
7.0522052205220520093575942e-1,8.2247407209489987527138131e31
7.0567056705670561100873783e-1,8.2330968808458359236817848e31
7.0612061206120613210401871e-1,8.2414560710080030141721333e31
7.0657065706570654217699712e-1,8.2498182905067569003894093e31
7.0702070207020706327227799e-1,8.2581835384142407669448297e31
7.0747074707470747334525640e-1,8.2665518138034426737397066e31
7.0792079207920788341823481e-1,8.2749231157482459962812729e31
7.0837083708370829349121323e-1,8.2832974433233825882465584e31
7.0882088208820881458649410e-1,8.2916747956044291786026875e31
7.0927092709270922465947251e-1,8.3000551716678470032836002e31
7.0972097209720974575475338e-1,8.3084385705909619893516915e31
7.1017101710171015582773180e-1,8.3168249914519125132421343e31
7.1062106210621056590071021e-1,8.3252144333297574871539357e31
7.1107110711071108699599108e-1,8.3336068953043448539408184e31
7.1152115211521149706896949e-1,8.3420023764564376879007867e31
7.1197119711971201816425037e-1,8.3504008758676169170241752e31
7.1242124212421242823722878e-1,8.3588023926203173517906682e31
7.1287128712871283831020719e-1,8.3672069257978294866091503e31
7.1332133213321324838318560e-1,8.3756144744842976983778555e31
7.1377137713771376947846647e-1,8.3840250377646878205670502e31
7.1422142214221417955144489e-1,8.3924386147248555979333693e31
7.1467146714671470064672576e-1,8.4008552044514674231663743e31
7.1512151215121511071970417e-1,8.4092748060320417700051251e31
7.1557155715571552079268258e-1,8.4176974185549401860389256e31
7.1602160216021604188796346e-1,8.4261230411093654912674724e31
