
          ENERG_LO       ENERG_HI       WAVE_MIN       WAVE_MAX       SPECRESP
               keV            keV       angstrom       angstrom          cm**2
105     0.00423878     0.00425332        2925.00        2915.00       0.410000
106     0.00422433     0.00423878        2935.00        2925.00       0.380000
107     0.00420999     0.00422433        2945.00        2935.00       0.360000
108     0.00419574     0.00420999        2955.00        2945.00       0.330000
109     0.00418159     0.00419574        2965.00        2955.00       0.300000
110     0.00416754     0.00418159        2975.00        2965.00       0.280000
111     0.00415357     0.00416754        2985.00        2975.00       0.270000
112     0.00413971     0.00415357        2995.00        2985.00       0.250000
113     0.00412593     0.00413971        3005.00        2995.00       0.220000
114     0.00411225     0.00412593        3015.00        3005.00       0.210000
115     0.00409865     0.00411225        3025.00        3015.00       0.200000
116     0.00408515     0.00409865        3035.00        3025.00       0.190000
117     0.00407173     0.00408515        3045.00        3035.00       0.180000
118     0.00405840     0.00407173        3055.00        3045.00       0.170000
119     0.00404516     0.00405840        3065.00        3055.00       0.160000
120     0.00403201     0.00404516        3075.00        3065.00       0.150000
121     0.00401894     0.00403201        3085.00        3075.00       0.130000
122     0.00400595     0.00401894        3095.00        3085.00       0.120000
123     0.00399305     0.00400595        3105.00        3095.00       0.120000
124     0.00398023     0.00399305        3115.00        3105.00       0.110000
125     0.00396749     0.00398023        3125.00        3115.00       0.110000
126     0.00395484     0.00396749        3135.00        3125.00       0.100000
127     0.00394226     0.00395484        3145.00        3135.00       0.100000
128     0.00392977     0.00394226        3155.00        3145.00      0.0900000
129     0.00391735     0.00392977        3165.00        3155.00      0.0900000
130     0.00390501     0.00391735        3175.00        3165.00      0.0800000
131     0.00389275     0.00390501        3185.00        3175.00      0.0800000
132     0.00388057     0.00389275        3195.00        3185.00      0.0700000
133     0.00386846     0.00389275        3205.00        3185.00      0.0700000
134     0.00382078     0.00386846        3245.00        3205.00      0.0600000
135     0.00375141     0.00380904        3305.00        3255.00      0.0400000
136     0.00369550     0.00375141        3355.00        3305.00      0.0300000
137     0.00364124     0.00369550        3405.00        3355.00      0.0300000
138     0.00358854     0.00364124        3455.00        3405.00      0.0200000
139     0.00353735     0.00358854        3505.00        3455.00      0.0200000
140     0.00348760     0.00353735        3555.00        3505.00      0.0200000
141     0.00343923     0.00348760        3605.00        3555.00      0.0100000
142     0.00339218     0.00343923        3655.00        3605.00      0.0100000
143     0.00334640     0.00339218        3705.00        3655.00      0.0100000
144     0.00330184     0.00334640        3755.00        3705.00      0.0100000
145     0.00325845     0.00330184        3805.00        3755.00      0.0100000
146     0.00321619     0.00325845        3855.00        3805.00      0.0100000
147     0.00317501     0.00321619        3905.00        3855.00      0.0100000
148     0.00313487     0.00317501        3955.00        3905.00      0.0100000
149     0.00309574     0.00313487        4005.00        3955.00      0.0100000
150     0.00305756     0.00309574        4055.00        4005.00      0.0100000
151     0.00302032     0.00305756        4105.00        4055.00      0.0100000
152     0.00298398     0.00302032        4155.00        4105.00      0.0100000
153     0.00294849     0.00298398        4205.00        4155.00      0.0100000
154     0.00291385     0.00294849        4255.00        4205.00      0.0100000
155     0.00288000     0.00291385        4305.00        4255.00      0.0100000
156     0.00284694     0.00288000        4355.00        4305.00      0.0100000
157     0.00281462     0.00284694        4405.00        4355.00      0.0100000
158     0.00278303     0.00281462        4455.00        4405.00      0.0100000
159     0.00275215     0.00278303        4505.00        4455.00      0.0100000
160     0.00272194     0.00275215        4555.00        4505.00      0.0100000
161     0.00269238     0.00272194        4605.00        4555.00      0.0100000
162     0.00266346     0.00269238        4655.00        4605.00      0.0100000
163     0.00263516     0.00266346        4705.00        4655.00      0.0100000
164     0.00260745     0.00263516        4755.00        4705.00      0.0100000
165     0.00258032     0.00260745        4805.00        4755.00      0.0100000
166     0.00255374     0.00258032        4855.00        4805.00      0.0100000
167     0.00252771     0.00255374        4905.00        4855.00      0.0100000
168     0.00250220     0.00252771        4955.00        4905.00      0.0100000
169     0.00247721     0.00250220        5005.00        4955.00      0.0100000
170     0.00245270     0.00247721        5055.00        5005.00      0.0100000
171     0.00242868     0.00245270        5105.00        5055.00      0.0100000
172     0.00240512     0.00242868        5155.00        5105.00      0.0100000
173     0.00238202     0.00240512        5205.00        5155.00      0.0100000
174     0.00235936     0.00238202        5255.00        5205.00      0.0100000
175     0.00233712     0.00235936        5305.00        5255.00      0.0100000
176     0.00231530     0.00233712        5355.00        5305.00      0.0100000
177     0.00229388     0.00231530        5405.00        5355.00      0.0100000
178     0.00227285     0.00229388        5455.00        5405.00      0.0100000
179     0.00225221     0.00227285        5505.00        5455.00      0.0100000
180     0.00223194     0.00225221        5555.00        5505.00      0.0100000
181     0.00221203     0.00223194        5605.00        5555.00      0.0100000
182     0.00219247     0.00221203        5655.00        5605.00      0.0100000
183     0.00217325     0.00219247        5705.00        5655.00      0.0100000
184     0.00215437     0.00217325        5755.00        5705.00      0.0100000
185     0.00213582     0.00215437        5805.00        5755.00      0.0100000
186     0.00211758     0.00213582        5855.00        5805.00      0.0100000
187     0.00209965     0.00211758        5905.00        5855.00      0.0100000
188     0.00208202     0.00209965        5955.00        5905.00      0.0100000
189     0.00206468     0.00208202        6005.00        5955.00      0.0100000
190     0.00204763     0.00206468        6055.00        6005.00      0.0100000
191     0.00203086     0.00204763        6105.00        6055.00      0.0100000
192     0.00201437     0.00203086        6155.00        6105.00      0.0100000
193     0.00199813     0.00201437        6205.00        6155.00      0.0100000
194     0.00198216     0.00199813        6255.00        6205.00      0.0100000
195     0.00196644     0.00198216        6305.00        6255.00      0.0100000
196     0.00195097     0.00196644        6355.00        6305.00      0.0100000
197     0.00193574     0.00195097        6405.00        6355.00      0.0100000
198     0.00192075     0.00193574        6455.00        6405.00      0.0100000
199     0.00190598     0.00192075        6505.00        6455.00      0.0100000
200     0.00189144     0.00190598        6555.00        6505.00      0.0100000
201     0.00187713     0.00189144        6605.00        6555.00      0.0100000
202     0.00186302     0.00187713        6655.00        6605.00      0.0100000
203     0.00184913     0.00186302        6705.00        6655.00      0.0100000
204     0.00183544     0.00184913        6755.00        6705.00      0.0100000
205     0.00182196     0.00183544        6805.00        6755.00      0.0100000
206     0.00180867     0.00182196        6855.00        6805.00      0.0100000
207     0.00179557     0.00180867        6905.00        6855.00      0.0100000
208     0.00178266     0.00179557        6955.00        6905.00      0.0100000
