,OBS_ID,DATE_OBS,DATE_END,FILTER,PA_PNT,RA_OBJ,DEC_OBJ,EXPOSURE,MID_TIME,EXTENSION,FITS_FILENAME,HELIO,HELIO_V,OBS_DIS,PHASE,RA,DEC,PX,PY
271,00033369003,2014-08-14T11:03:43.000,2014-08-14T11:07:03.000,UVW1,92.0036894478857,356.378516,-17.57647,196.622236698307,2014-08-14T11:05:23.000,2,sw00033369003uw1_sk.img.gz,5.830725226724,-16.1799601,4.94328605910993,5.2196,356.45692,-17.53316,457.09971297082626,847.2181646059428
272,00033369003,2014-08-14T11:07:06.000,2014-08-14T11:10:26.000,UVW1,92.0036894478857,356.378516,-17.57647,196.633102606692,2014-08-14T11:08:46.000,3,sw00033369003uw1_sk.img.gz,5.830703268798,-16.1799855,4.94324586482576,5.2191,356.4564,-17.53341,458.67587410127584,846.7139664148101
273,00033369003,2014-08-14T11:10:29.000,2014-08-14T11:13:48.000,UVW1,92.0036894478857,356.378516,-17.57647,196.622236698307,2014-08-14T11:12:08.500,4,sw00033369003uw1_sk.img.gz,5.830681365038,-16.1800109,4.94320794204917,5.2185,356.45588,-17.53367,461.7622019466597,846.3285080128683
274,00033369003,2014-08-14T11:13:51.000,2014-08-14T11:16:58.000,UVW1,92.0036894478857,356.378516,-17.57647,183.189768733704,2014-08-14T11:15:24.500,5,sw00033369003uw1_sk.img.gz,5.830660164434,-16.1800354,4.94317319973658,5.218,356.45539,-17.53391,463.5605203361405,845.477633953
275,00034469003,2016-04-10T09:19:19.000,2016-04-10T09:24:57.000,UGRISM,232.998464095197,67.80464,48.7451,190.7568576,2016-04-10T09:22:08.000,1,sw00034469003ugu_sk.img.gz,2.49436148501,21.8377931,2.88477034197158,19.8132,67.80433,48.74551,1489.3499029957666,754.7263389685295
276,00034469004,2016-04-10T09:25:19.000,2016-04-10T09:29:55.000,UGRISM,233.001705692783,67.80464,48.7451,152.1885312,2016-04-10T09:27:37.000,1,sw00034469004ugu_sk.img.gz,2.494409503747,21.8376865,2.88487273414613,19.8121,67.80468,48.74525,1484.2191557712906,761.7687474101004
277,00034020003,2015-09-01T07:22:20.000,2015-09-01T07:27:56.000,UGRISM,284.998299836619,232.79443,-60.35351,133.7838822,2015-09-01T07:25:08.000,1,sw00034020003ugu_sk.img.gz,1.560110804958,-23.1858926,1.20691852886224,40.3065,232.79681,-60.35519,1951.8863996425703,1435.7721608737543
278,00034688002,2016-08-19T13:59:20.000,2016-08-19T14:02:40.000,V,107.99135418145,91.073317,50.132676,196.611410212506,2016-08-19T14:01:00.000,1,sw00034688002uvv_sk.img.gz,4.023097052786,18.7364934,4.43305382891318,12.5735,91.20536,50.15336,448.72624839880206,792.8010480727464
279,00034688002,2016-08-19T14:02:43.000,2016-08-19T14:05:56.000,V,107.99135418145,91.073317,50.132676,190.541282522025,2016-08-19T14:04:19.500,2,sw00034688002uvv_sk.img.gz,4.023122039997,18.7364502,4.43304234926106,12.5735,91.20526,50.15355,450.3090309324691,792.0444313265563
280,00020405003,2014-08-14T22:10:20.000,2014-08-14T22:13:40.000,UVW1,91.9953823496431,356.296672,-17.63673,196.622217045679,2014-08-14T22:12:00.000,1,sw00020405003uw1_sk.img.gz,5.826398201706,-16.1849669,4.93539235184098,5.154,356.37656,-17.59268,444.6389248782427,835.3353534099625
281,00020405003,2014-08-14T22:13:43.000,2014-08-14T22:17:03.000,UVW1,91.9953823496431,356.296672,-17.63673,196.622236756971,2014-08-14T22:15:23.000,2,sw00020405003uw1_sk.img.gz,5.826376236829,-16.1849923,4.93534927258913,5.1536,356.37603,-17.59295,448.0652926849683,835.9990415492002
